,Dimensiones_minimas,Dimensiones_rectas,Tasa,Cantidad_Aristas,Etiqueta
0,"(14.0, 12.0)","(13, 15)",1.1666666666666667,16,Emisor
0,"(6.640783309936523, 43.63942337036133)","(43, 17)",6.571427094310424,7,No-Emisor
0,"(9.899494171142578, 6.363960266113281)","(11, 9)",1.555555622157991,12,Emisor
0,"(6.640783309936523, 43.95565414428711)","(43, 17)",6.619046593271128,6,No-Emisor
0,"(11.180339813232422, 6.708203315734863)","(11, 9)",1.666666808832053,16,Emisor
0,"(43.84061813354492, 14.849242210388184)","(29, 37)",2.9523808361665114,8,No-Emisor
0,"(43.277069091796875, 16.396902084350586)","(29, 37)",2.6393442413186734,11,Emisor
0,"(48.08325958251953, 17.677669525146484)","(32, 42)",2.7199999136832544,10,Emisor
0,"(48.167152404785156, 19.02297592163086)","(32, 41)",2.532051378460439,9,Emisor
0,"(31.047897338867188, 1.7669535875320435)","(31, 9)",17.57142777147458,13,Emisor
0,"(14.0, 10.0)","(11, 15)",1.4,13,Emisor
0,"(6.640782833099365, 43.639427185058594)","(43, 17)",6.571428140602414,7,No-Emisor
0,"(9.899494171142578, 5.656853675842285)","(10, 9)",1.7500000421468527,9,Emisor
0,"(6.640782833099365, 43.955657958984375)","(43, 17)",6.619047642982405,8,No-Emisor
0,"(10.733125686645508, 6.708203315734863)","(10, 9)",1.6000000568661545,12,Emisor
0,"(43.133514404296875, 15.55634880065918)","(29, 37)",2.7727273897631526,11,Emisor
0,"(42.60569763183594, 16.754037857055664)","(29, 37)",2.543010705559156,9,Emisor
0,"(47.740352630615234, 18.413265228271484)","(32, 42)",2.592715199546212,8,No-Emisor
0,"(48.35006332397461, 19.266860961914062)","(32, 42)",2.5094935505867313,9,Emisor
0,"(31.044557571411133, 1.9402848482131958)","(31, 9)",16.0,13,Emisor
0,"(14.0, 10.0)","(11, 15)",1.4,12,Emisor
0,"(6.640782833099365, 43.639427185058594)","(43, 17)",6.571428140602414,7,No-Emisor
0,"(9.899494171142578, 5.656853675842285)","(10, 9)",1.7500000421468527,11,Emisor
0,"(6.640782833099365, 43.955657958984375)","(43, 17)",6.619047642982405,7,No-Emisor
0,"(10.733125686645508, 6.260990142822266)","(10, 9)",1.7142856707657006,12,Emisor
0,"(43.133514404296875, 14.849242210388184)","(29, 37)",2.904761993451873,10,Emisor
0,"(42.80000305175781, 16.200000762939453)","(29, 37)",2.641975372598183,11,Emisor
0,"(48.08325958251953, 18.384777069091797)","(32, 42)",2.6153844238533828,9,Emisor
0,"(48.12873840332031, 19.62531280517578)","(32, 42)",2.4523807024684636,9,Emisor
0,"(30.35999870300293, 2.0)","(30, 10)",15.179999351501465,13,Emisor
0,"(14.0, 11.0)","(12, 15)",1.2727272727272727,14,Emisor
0,"(6.640782833099365, 43.639427185058594)","(43, 17)",6.571428140602414,7,No-Emisor
0,"(9.899494171142578, 7.0710673332214355)","(11, 9)",1.3999999865130075,14,Emisor
0,"(6.640782833099365, 43.955657958984375)","(43, 17)",6.619047642982405,7,No-Emisor
0,"(11.180339813232422, 6.708203315734863)","(11, 9)",1.666666808832053,16,Emisor
0,"(44.547725677490234, 14.849242210388184)","(30, 37)",2.99999993577623,10,Emisor
0,"(44.083473205566406, 16.396902084350586)","(30, 37)",2.688524513886086,11,Emisor
0,"(48.08325958251953, 17.677669525146484)","(32, 41)",2.7199999136832544,11,Emisor
0,"(48.23818588256836, 19.032155990600586)","(32, 41)",2.534562343141353,9,Emisor
0,"(30.074417114257812, 1.9402848482131958)","(30, 9)",15.500001013744596,12,Emisor
0,"(14.0, 11.0)","(12, 15)",1.2727272727272727,15,Emisor
0,"(6.640782356262207, 43.639427185058594)","(43, 17)",6.571428612459637,7,No-Emisor
0,"(9.899494171142578, 6.363960266113281)","(11, 9)",1.555555622157991,14,Emisor
0,"(6.640782356262207, 43.955657958984375)","(43, 17)",6.619048118258917,7,No-Emisor
0,"(11.180339813232422, 6.260990142822266)","(11, 9)",1.7857143292342994,16,Emisor
0,"(43.84061813354492, 14.849242210388184)","(29, 37)",2.9523808361665114,9,Emisor
0,"(43.533348083496094, 15.791507720947266)","(29, 37)",2.756756913448459,10,Emisor
0,"(47.13064193725586, 18.59617805480957)","(32, 42)",2.534426256747222,9,Emisor
0,"(48.167152404785156, 19.449771881103516)","(32, 42)",2.476489323331452,9,Emisor
0,"(30.35262680053711, 2.1570394039154053)","(30, 10)",14.071428989865352,10,Emisor
0,"(14.0, 12.0)","(13, 15)",1.1666666666666667,16,Emisor
0,"(6.640782356262207, 43.639427185058594)","(43, 17)",6.571428612459637,7,No-Emisor
0,"(9.899494171142578, 6.363960266113281)","(11, 9)",1.555555622157991,12,Emisor
0,"(6.640782356262207, 43.955657958984375)","(43, 17)",6.619048118258917,7,No-Emisor
0,"(11.180339813232422, 6.708203315734863)","(11, 9)",1.666666808832053,16,Emisor
0,"(42.80000305175781, 15.800002098083496)","(29, 38)",2.708860592933045,8,No-Emisor
0,"(43.277069091796875, 16.611942291259766)","(29, 38)",2.605178150333856,10,Emisor
0,"(48.08325958251953, 17.677669525146484)","(32, 41)",2.7199999136832544,11,Emisor
0,"(48.41387176513672, 19.053199768066406)","(32, 41)",2.540983790359426,9,Emisor
0,"(31.315589904785156, 2.118520498275757)","(31, 10)",14.781820581992296,9,Emisor
0,"(9.0, 14.0)","(10, 15)",1.5555555555555556,14,Emisor
0,"(14.0, 9.0)","(10, 15)",1.5555555555555556,14,Emisor
0,"(6.008327484130859, 43.639427185058594)","(43, 17)",7.263157226419275,6,No-Emisor
0,"(9.899494171142578, 5.656853675842285)","(10, 9)",1.7500000421468527,11,Emisor
0,"(6.008327484130859, 43.955657958984375)","(43, 17)",7.3157893066048185,7,No-Emisor
0,"(10.733125686645508, 6.260990142822266)","(10, 9)",1.7142856707657006,12,Emisor
0,"(43.84061813354492, 15.55634880065918)","(29, 37)",2.818181740157898,11,Emisor
0,"(43.77667999267578, 16.754037857055664)","(29, 37)",2.6129032515131874,8,No-Emisor
0,"(47.740352630615234, 18.59617805480957)","(32, 42)",2.567213138630281,10,Emisor
0,"(48.77686309814453, 19.449771881103516)","(32, 42)",2.5078372844842383,9,Emisor
0,"(31.044557571411133, 1.9402848482131958)","(31, 9)",16.0,11,Emisor
0,"(14.0, 10.0)","(11, 15)",1.4,12,Emisor
0,"(6.640783309936523, 43.63943862915039)","(43, 17)",6.571429392049764,7,No-Emisor
0,"(9.899494171142578, 6.363960266113281)","(11, 9)",1.555555622157991,12,Emisor
0,"(6.640783309936523, 43.955665588378906)","(43, 17)",6.6190483165756335,6,No-Emisor
0,"(11.180339813232422, 6.708203315734863)","(11, 9)",1.666666808832053,16,Emisor
0,"(43.84062194824219, 14.849242210388184)","(29, 38)",2.9523810930615912,8,No-Emisor
0,"(43.400001525878906, 16.400001525878906)","(29, 38)",2.646341310236739,11,Emisor
0,"(47.740352630615234, 18.59617805480957)","(32, 42)",2.567213138630281,9,Emisor
0,"(48.35006332397461, 19.449771881103516)","(32, 42)",2.4858935939988713,10,Emisor
0,"(31.308237075805664, 1.9683709144592285)","(31, 10)",15.905659266666715,10,Emisor
0,"(9.0, 14.0)","(10, 15)",1.5555555555555556,14,Emisor
0,"(14.0, 9.0)","(10, 15)",1.5555555555555556,15,Emisor
0,"(6.640783309936523, 43.63943862915039)","(43, 17)",6.571429392049764,7,No-Emisor
0,"(9.899494171142578, 5.656853675842285)","(11, 9)",1.7500000421468527,8,No-Emisor
0,"(6.640783309936523, 43.955665588378906)","(43, 17)",6.6190483165756335,7,No-Emisor
0,"(11.180339813232422, 6.708203315734863)","(11, 9)",1.666666808832053,16,Emisor
0,"(43.84062194824219, 15.55634880065918)","(29, 38)",2.818181985375932,8,No-Emisor
0,"(43.191192626953125, 16.754037857055664)","(29, 38)",2.5779572062244043,8,No-Emisor
0,"(48.08325958251953, 17.677669525146484)","(32, 41)",2.7199999136832544,11,Emisor
0,"(48.41387176513672, 19.053199768066406)","(32, 41)",2.540983790359426,9,Emisor
0,"(32.010990142822266, 1.8280882835388184)","(32, 9)",17.510636893780262,11,Emisor
0,"(14.0, 10.0)","(11, 15)",1.4,13,Emisor
0,"(6.008327484130859, 43.63942337036133)","(43, 17)",7.263156591517586,6,No-Emisor
0,"(9.899494171142578, 5.656853675842285)","(10, 9)",1.7500000421468527,11,Emisor
0,"(6.008327484130859, 43.95565414428711)","(43, 17)",7.31578867170313,7,No-Emisor
0,"(10.733125686645508, 6.260990142822266)","(10, 9)",1.7142856707657006,12,Emisor
0,"(43.133514404296875, 14.849242210388184)","(29, 37)",2.904761993451873,10,Emisor
